program_id,category,term,term_id,description,fdr,p_value,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes
1,Process,GO:0032886,NA,Regulation of microtubule-based process,0.00025,1.64e-06,16,272,10090,Kat2b|Rock2|Pafah1b1|Atxn7|Mapk8|Mecp2|Pkd1|Taok1|Rock1|Togaram1|Alms1|Xpo1|Camsap1|Sirt1|Senp6|Clasp2
1,Process,GO:0018107,NA,Peptidyl-threonine phosphorylation,0.00033,2.3e-06,9,78,10090,Tgfbr1|Rock2|Mapk8|Atf2|Rock1|Wnk1|Cdc42bpa|Akt3|Camk2d
1,Process,GO:0051056,NA,Regulation of small GTPase mediated signal transduction,0.00035,2.53e-06,15,248,10090,Abl2|Kras|Rasa2|Pik3cb|Scai|Sos2|Nf1|Ralgapa1|Arfgef1|Rtn4|Ralgapb|Rasa1|Cdc42bpa|Arhgap12|Camk2d
1,Process,GO:0016573,NA,Histone acetylation,0.00042,3.12e-06,11,131,10090,Kat2b|Atxn7|Crebbp|Mecp2|Atf2|Ep300|Ncoa1|Kansl1|Mbtd1|Jade3|Clock
1,Process,GO:1902903,NA,Regulation of supramolecular fiber organization,0.00056,4.27e-06,19,405,10090,Braf|Tgfbr1|Rock2|Atxn7|Mapk8|Rb1|Mecp2|Washc4|Ccdc88a|Rictor|Taok1|Dlg1|Togaram1|Alms1|Arfgef1|Rasa1|Nckap1|Camsap1|Clasp2
1,Process,GO:1990778,NA,Protein localization to cell periphery,0.00071,5.66e-06,15,266,10090,Rock2|Sec23a|Nectin3|Pacs1|Fcho2|Ccdc88a|Kif1b|Dlg1|Rock1|Rabep1|Mpp5|Cask|Slmap|Afdn|Clasp2
1,Process,GO:0032259,NA,Methylation,0.00089,7.42e-06,16,308,10090,Fbxo11|Crebbp|Mecp2|Arid4a|Bmt2|Kmt2c|Setd5|Rlf|Nsd2|Nsd1|Ncoa6|Arid4b|Kmt2e|Setd2|Kdm3a|Ash1l
1,KEGG,mmu05166,NA,Human T-cell leukemia virus 1 infection,0.00093,5.61e-06,14,232,10090,Kat2b|Tgfbr1|Mapk8|Rb1|Crebbp|Kras|Pik3cb|Atf2|Dlg1|Ep300|Cdc27|Xpo1|Nfatc3|Akt3
1,KEGG,mmu04919,NA,Thyroid hormone signaling pathway,0.00096,8.71e-06,10,119,10090,Kat2b|Ncoa2|Ncor1|Crebbp|Kras|Pik3cb|Med13|Ep300|Ncoa1|Akt3
1,Process,GO:0031056,NA,Regulation of histone modification,0.0012,1.08e-05,13,213,10090,Kat2b|Ncor1|Mapk8|Mecp2|Setd5|Kdm2a|Nipbl|Lcor|Nsd1|Kansl1|Kmt2e|Sirt1|Kdm3a
1,Process,GO:0072659,NA,Protein localization to plasma membrane,0.0013,1.13e-05,13,214,10090,Rock2|Sec23a|Nectin3|Pacs1|Fcho2|Ccdc88a|Dlg1|Rock1|Mpp5|Cask|Slmap|Afdn|Clasp2
1,KEGG,mmu04068,NA,FoxO signaling pathway,0.0014,1.68e-05,10,129,10090,Braf|Tgfbr1|Mapk8|Crebbp|Kras|Pik3cb|Sos2|Ep300|Akt3|Sirt1
1,Process,GO:0010452,NA,Histone H3-K36 methylation,0.0015,1.37e-05,4,8,10090,Setd5|Nsd2|Setd2|Ash1l
1,Process,GO:0070507,NA,Regulation of microtubule cytoskeleton organization,0.0023,2.16e-05,11,163,10090,Pafah1b1|Atxn7|Mapk8|Mecp2|Pkd1|Taok1|Rock1|Togaram1|Camsap1|Senp6|Clasp2
1,Process,GO:0006366,NA,Transcription by RNA polymerase II,0.0024,2.29e-05,16,339,10090,Ncoa2|Atxn7|Rb1|Arid4a|Setx|Atf2|Chd7|Ep300|Lcor|Ncoa1|Cdk12|Nfatc3|Arid4b|Setd2|Nfat5|Ash1l
1,KEGG,mmu04120,NA,Ubiquitin mediated proteolysis,0.0024,3.64e-05,10,142,10090,Herc4|Uba6|Herc1|Ube3c|Ube2q2|Smurf2|Cdc27|Pias1|Itch|Birc6
1,KEGG,mmu05211,NA,Renal cell carcinoma,0.0026,4.68e-05,7,65,10090,Braf|Crebbp|Kras|Pik3cb|Sos2|Ep300|Akt3
1,KEGG,mmu01522,NA,Endocrine resistance,0.0026,5.18e-05,8,91,10090,Braf|Ncor1|Mapk8|Rb1|Kras|Pik3cb|Sos2|Akt3
1,Process,GO:0017015,NA,Regulation of transforming growth factor beta receptor signaling pathway,0.0032,3.25e-05,10,140,10090,Crebbp|Sap130|Trim33|Arid4a|Snx25|Ep300|Mpp5|Smurf2|Arid4b|Sirt1
1,Process,GO:0000209,NA,Protein polyubiquitination,0.0034,3.55e-05,13,240,10090,Rmnd5a|Hace1|Ube3c|Ambra1|Cbfb|Ube2q2|Smurf2|Cdc27|Rc3h2|Itch|Rc3h1|Arih1|Ttc3
1,Process,GO:0035022,NA,Positive regulation of Rac protein signal transduction,0.0035,3.66e-05,4,11,10090,Kras|Pik3cb|Rtn4|Camk2d
1,KEGG,mmu05212,NA,Pancreatic cancer,0.0035,8.52e-05,7,72,10090,Braf|Tgfbr1|Mapk8|Rb1|Kras|Pik3cb|Akt3
1,KEGG,mmu05215,NA,Prostate cancer,0.0035,9e-05,8,99,10090,Braf|Rb1|Crebbp|Kras|Pik3cb|Sos2|Ep300|Akt3
1,KEGG,mmu05220,NA,Chronic myeloid leukemia,0.0035,9.23e-05,7,73,10090,Braf|Tgfbr1|Rb1|Kras|Pik3cb|Sos2|Akt3
1,Process,GO:0048638,NA,Regulation of developmental growth,0.004,4.28e-05,17,398,10090,Ulk2|Tgfbr1|Ncor1|Pafah1b1|Atrn|Mecp2|Itsn2|Atxn2|Chd7|Nipbl|Dlg1|Alms1|Rtn4|Sirt1|Afdn|Clasp2|Rufy3
1,Process,GO:0018076,NA,N-terminal peptidyl-lysine acetylation,0.0041,4.46e-05,3,3,10090,Kat2b|Crebbp|Ep300
1,Process,GO:0033169,NA,Histone H3-K9 demethylation,0.0057,6.25e-05,4,13,10090,Kdm7a|Kdm3b|Phf8|Kdm3a
1,Process,GO:0007265,NA,Ras protein signal transduction,0.0069,7.71e-05,11,189,10090,Rock2|Rb1|Abl2|Kras|Sos2|Usp28|Rock1|Nf1|Ralgapb|Nckap1|Arhgap5
1,Process,GO:1904017,NA,Cellular response to Thyroglobulin triiodothyronine,0.0069,7.73e-05,3,4,10090,Ncoa2|Ncor1|Ncoa1
1,Process,GO:0035020,NA,Regulation of Rac protein signal transduction,0.007,7.98e-05,5,29,10090,Kras|Pik3cb|Nf1|Rtn4|Camk2d
1,KEGG,mmu04935,NA,"Growth hormone synthesis, secretion and action",0.0072,0.00024,8,115,10090,Mapk8|Crebbp|Kras|Pik3cb|Sos2|Atf2|Ep300|Akt3
1,KEGG,mmu05210,NA,Colorectal cancer,0.0072,0.00024,7,86,10090,Braf|Tgfbr1|Mapk8|Kras|Pik3cb|Sos2|Akt3
1,KEGG,mmu00310,NA,Lysine degradation,0.0072,0.00026,6,61,10090,Kmt2c|Nsd2|Nsd1|Kmt2e|Setd2|Ash1l
1,KEGG,mmu04914,NA,Progesterone-mediated oocyte maturation,0.0073,0.00031,7,90,10090,Braf|Mapk8|Kras|Pik3cb|Cdc27|Akt3|Cpeb2
1,Process,GO:1902905,NA,Positive regulation of supramolecular fiber organization,0.0076,8.81e-05,11,192,10090,Braf|Tgfbr1|Rock2|Mapk8|Rb1|Mecp2|Ccdc88a|Rictor|Dlg1|Togaram1|Nckap1
1,KEGG,mmu04150,NA,mTOR signaling pathway,0.0081,0.00037,9,156,10090,Braf|Ulk2|Kras|Pik3cb|Sos2|Fnip1|Rictor|Grb10|Akt3
1,KEGG,mmu05223,NA,Non-small cell lung cancer,0.0081,0.00038,6,66,10090,Braf|Rb1|Kras|Pik3cb|Sos2|Akt3
1,Process,GO:1901987,NA,Regulation of cell cycle phase transition,0.0094,0.00011,17,432,10090,Ankrd17|Rb1|Crebbp|Mecp2|Usp28|Ambra1|Pkd1|Taok1|Atf2|Crlf3|Dlg1|Cdc27|Arid2|Pbrm1|Kmt2e|Camk2d|Clock
1,KEGG,mmu05214,NA,Glioma,0.0094,0.00048,6,69,10090,Braf|Rb1|Kras|Pik3cb|Sos2|Akt3
1,Process,GO:0051150,NA,Regulation of smooth muscle cell differentiation,0.01,0.00012,5,32,10090,Ankrd17|Tshz3|Mecp2|Nfatc3|Sirt1
1,Process,GO:0046777,NA,Protein autophosphorylation,0.0109,0.00013,11,202,10090,Ulk2|Tgfbr1|Rb1cc1|Smg1|Csnk1g1|Sik2|Taok1|Wnk1|Trpm7|Cdk12|Camk2d
1,Process,GO:2000045,NA,Regulation of G1/S transition of mitotic cell cycle,0.011,0.00014,10,168,10090,Ankrd17|Rb1|Crebbp|Ambra1|Pkd1|Crlf3|Dlg1|Arid2|Pbrm1|Kmt2e
1,Process,GO:0000165,NA,MAPK cascade,0.0116,0.00015,11,204,10090,Braf|Pafah1b1|Mapk8|Setx|Taok1|Atf2|Nf1|Grb10|Nr2c2|Atf7|Ash1l
1,Process,GO:0043254,NA,Regulation of protein-containing complex assembly,0.0116,0.00015,17,442,10090,Mapk8|Mecp2|Fnip1|Ambra1|Rictor|Dlg1|Ep300|Togaram1|Arfgef1|Slf2|Faf1|Rasa1|Nckap1|Camsap1|Stxbp5|Senp6|Clasp2
1,KEGG,mmu04024,NA,cAMP signaling pathway,0.0118,0.00064,10,206,10090,Braf|Rock2|Mapk8|Crebbp|Pik3cb|Ep300|Ppp1r12a|Rock1|Akt3|Afdn
1,KEGG,mmu04660,NA,T cell receptor signaling pathway,0.0118,0.00066,7,103,10090,Mapk8|Kras|Pik3cb|Sos2|Dlg1|Nfatc3|Akt3
1,KEGG,mmu05225,NA,Hepatocellular carcinoma,0.0118,0.00066,9,170,10090,Braf|Tgfbr1|Rb1|Kras|Pik3cb|Sos2|Arid2|Akt3|Pbrm1
1,KEGG,mmu04010,NA,MAPK signaling pathway,0.0118,0.00068,12,287,10090,Braf|Tgfbr1|Mapk8|Kras|Rasa2|Sos2|Taok1|Atf2|Nf1|Nfatc3|Rasa1|Akt3
1,Process,GO:0048872,NA,Homeostasis of number of cells,0.0122,0.00015,14,319,10090,Vps54|Ncor1|Rb1|Kras|Arid4a|Sos2|Atxn2|Nf1|Rc3h2|Ptbp3|Akt3|Kmt2e|Afdn|Rc3h1
1,Process,GO:0090287,NA,Regulation of cellular response to growth factor stimulus,0.0122,0.00015,14,319,10090,Crebbp|Sap130|Trim33|Pik3cb|Arid4a|Snx25|Ctdspl2|Ep300|Mpp5|Smurf2|Grb10|Arid4b|Cask|Sirt1
1,KEGG,mmu01521,NA,EGFR tyrosine kinase inhibitor resistance,0.0132,0.00088,6,78,10090,Braf|Kras|Pik3cb|Sos2|Nf1|Akt3
1,Process,GO:0007064,NA,Mitotic sister chromatid cohesion,0.0139,0.00018,4,18,10090,Rb1|Esco1|Nipbl|Pds5a
1,Process,GO:0061038,NA,Uterus morphogenesis,0.0139,0.00018,3,6,10090,Kdm5b|Nipbl|Ash1l
1,Process,GO:0061647,NA,Histone H3-K9 modification,0.0139,0.00018,4,18,10090,Kat2b|Arid4a|Arid4b|Kdm3a
1,Process,GO:0022037,NA,Metencephalon development,0.0146,0.0002,9,143,10090,Abl2|Atrn|Mecp2|Herc1|Atxn2|Atf2|Usp9x|Cplane1|Nr2c2
1,KEGG,mmu04012,NA,ErbB signaling pathway,0.0152,0.0011,6,81,10090,Braf|Mapk8|Kras|Pik3cb|Sos2|Akt3
1,Process,GO:0046605,NA,Regulation of centrosome cycle,0.0159,0.00022,6,59,10090,Kat2b|Rock2|Mapk8|Alms1|Xpo1|Sirt1
1,KEGG,mmu04722,NA,Neurotrophin signaling pathway,0.016,0.0012,7,114,10090,Braf|Mapk8|Kras|Pik3cb|Sos2|Kidins220|Akt3
1,Process,GO:0007264,NA,Small GTPase mediated signal transduction,0.0177,0.00025,12,255,10090,Rock2|Rb1|Abl2|Kras|Sos2|Usp28|Ccdc88a|Rock1|Nf1|Ralgapb|Nckap1|Arhgap5
1,Process,GO:0016358,NA,Dendrite development,0.0179,0.00025,9,148,10090,Rock2|Mapk8|Abl2|Mecp2|Uba6|Dip2a|Kidins220|Afdn|Strn
1,Process,GO:0071557,NA,Histone H3-K27 demethylation,0.0181,0.00026,3,7,10090,Kdm7a|Kdm6a|Phf8
1,Process,GO:0032271,NA,Regulation of protein polymerization,0.0189,0.00027,11,220,10090,Mapk8|Mecp2|Ambra1|Rictor|Dlg1|Togaram1|Arfgef1|Rasa1|Nckap1|Camsap1|Clasp2
1,Process,GO:0040014,NA,Regulation of multicellular organism growth,0.0189,0.00027,7,88,10090,Ncor1|Atrn|Atxn2|Chd7|Nipbl|Dlg1|Alms1
1,KEGG,mmu04071,NA,Sphingolipid signaling pathway,0.0196,0.0015,7,120,10090,Rock2|Mapk8|Kras|Pik3cb|Rock1|Ppp2r3a|Akt3
1,KEGG,mmu05213,NA,Endometrial cancer,0.0196,0.0015,5,58,10090,Braf|Kras|Pik3cb|Sos2|Akt3
1,KEGG,mmu05203,NA,Viral carcinogenesis,0.0196,0.0016,9,194,10090,Kat2b|Rb1|Crebbp|Kras|Rasa2|Pik3cb|Atf2|Dlg1|Ep300
1,Process,GO:1901990,NA,Regulation of mitotic cell cycle phase transition,0.0198,0.00029,14,340,10090,Ankrd17|Rb1|Crebbp|Mecp2|Ambra1|Pkd1|Taok1|Crlf3|Dlg1|Cdc27|Arid2|Pbrm1|Kmt2e|Camk2d
1,KEGG,mmu04510,NA,Focal adhesion,0.0202,0.0017,9,196,10090,Braf|Rock2|Mapk8|Pik3cb|Sos2|Ppp1r12a|Rock1|Akt3|Arhgap5
1,KEGG,mmu05160,NA,Hepatitis C,0.0202,0.0017,8,158,10090,Braf|Apaf1|Rb1|Kras|Pik3cb|Sos2|Pias1|Akt3
1,KEGG,mmu04211,NA,Longevity regulating pathway,0.0202,0.0018,6,90,10090,Rb1cc1|Kras|Pik3cb|Atf2|Akt3|Sirt1
1,Process,GO:0051058,NA,Negative regulation of small GTPase mediated signal transduction,0.0208,0.0003,6,63,10090,Abl2|Rasa2|Scai|Nf1|Rasa1|Arhgap12
1,Process,GO:0070646,NA,Protein modification by small protein removal,0.0216,0.00032,9,153,10090,Atxn7|Desi2|Usp28|Usp9x|Usp24|Usp32|Senp6|Usp34|Usp37
1,Process,GO:0043967,NA,Histone H4 acetylation,0.022,0.00033,6,64,10090,Atf2|Ep300|Ncoa1|Kansl1|Mbtd1|Jade3
1,KEGG,mmu04926,NA,Relaxin signaling pathway,0.0223,0.0021,7,127,10090,Tgfbr1|Mapk8|Kras|Pik3cb|Sos2|Atf2|Akt3
1,Process,GO:0022604,NA,Regulation of cell morphogenesis,0.0225,0.00034,14,346,10090,Braf|Pafah1b1|Mkln1|Mecp2|Phip|Itsn2|Dlg1|Zmym4|Camsap1|Cask|Afdn|Numb|Myo9a|Ttc3
1,Process,GO:0051568,NA,Histone H3-K4 methylation,0.0226,0.00035,5,41,10090,Arid4a|Kmt2c|Rlf|Ncoa6|Ash1l
1,Process,GO:0035507,NA,Regulation of myosin-light-chain-phosphatase activity,0.0228,0.00035,3,8,10090,Rock2|Ppp1r12a|Rock1
1,Process,GO:0060999,NA,Positive regulation of dendritic spine development,0.0231,0.00036,6,65,10090,Pafah1b1|Crebbp|Mecp2|Pbrm1|Cask|Afdn
1,Process,GO:0031110,NA,Regulation of microtubule polymerization or depolymerization,0.024,0.00037,7,93,10090,Atxn7|Mapk8|Mecp2|Taok1|Togaram1|Camsap1|Clasp2
1,Process,GO:0010976,NA,Positive regulation of neuron projection development,0.0242,0.00038,11,229,10090,Braf|Pafah1b1|Abl2|Cbfa2t2|Setx|Kidins220|Ep300|Nf1|Cask|Sirt1|Afdn
1,KEGG,mmu04664,NA,Fc epsilon RI signaling pathway,0.0245,0.0024,5,65,10090,Mapk8|Kras|Pik3cb|Sos2|Akt3
1,KEGG,mmu04218,NA,Cellular senescence,0.0247,0.0025,8,168,10090,Tgfbr1|Rb1|Kras|Pik3cb|Trpm7|Nfatc3|Akt3|Sirt1
1,KEGG,mmu04915,NA,Estrogen signaling pathway,0.0247,0.0025,7,131,10090,Ncoa2|Kras|Pik3cb|Sos2|Atf2|Ncoa1|Akt3
1,Process,GO:0090068,NA,Positive regulation of cell cycle process,0.0256,0.00041,12,270,10090,Kat2b|Ankrd17|Rock2|Rb1|Crebbp|Mecp2|Phip|Cspp1|Cdc27|Slf2|Kmt2e|Camk2d
1,Process,GO:2000113,NA,Negative regulation of cellular macromolecule biosynthetic process,0.0257,0.00041,10,194,10090,Rock2|Pan3|Xrn1|Tut4|Rock1|Lsm14a|Grb10|Rc3h2|Rc3h1|Cpeb2
1,Process,GO:1904019,NA,Epithelial cell apoptotic process,0.0259,0.00041,6,67,10090,Braf|Mapk8|Rb1|Atf2|Alms1|Atf7
1,KEGG,mmu04520,NA,Adherens junction,0.0261,0.0028,5,68,10090,Tgfbr1|Crebbp|Nectin3|Ep300|Afdn
1,KEGG,mmu04922,NA,Glucagon signaling pathway,0.0261,0.0028,6,99,10090,Crebbp|Sik2|Atf2|Ep300|Akt3|Sirt1
1,Process,GO:0007062,NA,Sister chromatid cohesion,0.0262,0.00042,5,43,10090,Rb1|Esco1|Nipbl|Stag1|Pds5a
1,Process,GO:0018023,NA,Peptidyl-lysine trimethylation,0.0262,0.00042,5,43,10090,Arid4a|Setd5|Ncoa6|Arid4b|Setd2
1,KEGG,mmu04140,NA,Autophagy - animal,0.0269,0.003,7,136,10090,Ulk2|Mapk8|Rb1cc1|Kras|Pik3cb|Ambra1|Akt3
1,Process,GO:1901992,NA,Positive regulation of mitotic cell cycle phase transition,0.0273,0.00044,7,96,10090,Ankrd17|Rb1|Crebbp|Mecp2|Cdc27|Kmt2e|Camk2d
1,Process,GO:1902850,NA,Microtubule cytoskeleton organization involved in mitosis,0.0273,0.00044,8,127,10090,Pafah1b1|Mecp2|Map4|Togaram1|Lsm14a|Stag1|Setd2|Clasp2
1,KEGG,mmu05221,NA,Acute myeloid leukemia,0.0278,0.0032,5,70,10090,Braf|Kras|Pik3cb|Sos2|Akt3
1,Process,GO:1904179,NA,Positive regulation of adipose tissue development,0.0282,0.00046,3,9,10090,Ncoa2|Ncoa1|Sirt1
1,Process,GO:0031060,NA,Regulation of histone methylation,0.0286,0.00047,7,97,10090,Mecp2|Lcor|Nsd1|Kansl1|Kmt2e|Sirt1|Kdm3a
1,Process,GO:0090092,NA,Regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.0287,0.00047,12,275,10090,Tgfbr1|Crebbp|Sap130|Trim33|Arid4a|Snx25|Ctdspl2|Ep300|Mpp5|Smurf2|Arid4b|Sirt1
1,Process,GO:0034249,NA,Negative regulation of cellular amide metabolic process,0.0287,0.00048,10,198,10090,Rock2|Pan3|Xrn1|Tut4|Rock1|Lsm14a|Rc3h2|Rtn4|Rc3h1|Cpeb2
1,Process,GO:2000114,NA,Regulation of establishment of cell polarity,0.0287,0.00048,4,24,10090,Abl2|Rictor|Arfgef1|Rufy3
1,KEGG,mmu05218,NA,Melanoma,0.0287,0.0034,5,71,10090,Braf|Rb1|Kras|Pik3cb|Akt3
1,KEGG,mmu05017,NA,Spinocerebellar ataxia,0.029,0.0035,7,140,10090,Ulk2|Mapk8|Rb1cc1|Pik3cb|Ambra1|Atxn2|Akt3
1,Process,GO:0021549,NA,Cerebellum development,0.0292,0.00049,8,129,10090,Abl2|Atrn|Mecp2|Herc1|Atxn2|Usp9x|Cplane1|Nr2c2
1,Process,GO:0031058,NA,Positive regulation of histone modification,0.0292,0.00049,8,129,10090,Ncor1|Mecp2|Kdm2a|Nipbl|Lcor|Kansl1|Kmt2e|Sirt1
1,Process,GO:0021915,NA,Neural tube development,0.0293,0.00049,10,199,10090,Apaf1|Rock2|Abl2|Kdm2a|Ambra1|Pkd1|Kdm6a|Nf1|Nckap1|Setd2
1,Process,GO:0090311,NA,Regulation of protein deacetylation,0.0303,0.00051,6,70,10090,Kat2b|Ncor1|Mapk8|Nipbl|Ep300|Sirt1
1,Process,GO:0045931,NA,Positive regulation of mitotic cell cycle,0.0303,0.00052,8,130,10090,Ankrd17|Pafah1b1|Rb1|Crebbp|Mecp2|Cdc27|Kmt2e|Camk2d
1,Process,GO:0016579,NA,Protein deubiquitination,0.0313,0.00054,8,131,10090,Atxn7|Desi2|Usp28|Usp9x|Usp24|Usp32|Usp34|Usp37
1,Process,GO:0061157,NA,mRNA destabilization,0.0318,0.00055,6,71,10090,Rock2|Pan3|Tut4|Rock1|Rc3h2|Rc3h1
1,KEGG,mmu04662,NA,B cell receptor signaling pathway,0.0323,0.004,5,74,10090,Kras|Pik3cb|Sos2|Nfatc3|Akt3
1,KEGG,mmu04917,NA,Prolactin signaling pathway,0.0323,0.004,5,74,10090,Mapk8|Kras|Pik3cb|Sos2|Akt3
1,KEGG,mmu04014,NA,Ras signaling pathway,0.0323,0.0041,9,225,10090,Mapk8|Kras|Rasa2|Pik3cb|Sos2|Nf1|Rasa1|Akt3|Afdn
1,KEGG,mmu05224,NA,Breast cancer,0.0329,0.0044,7,146,10090,Braf|Rb1|Kras|Pik3cb|Sos2|Ncoa1|Akt3
1,KEGG,mmu05226,NA,Gastric cancer,0.0333,0.0045,7,147,10090,Braf|Tgfbr1|Rb1|Kras|Pik3cb|Sos2|Akt3
1,Process,GO:0032273,NA,Positive regulation of protein polymerization,0.0339,0.00059,7,101,10090,Mapk8|Mecp2|Ambra1|Rictor|Dlg1|Togaram1|Nckap1
1,Process,GO:0048511,NA,Rhythmic process,0.0339,0.0006,13,324,10090,Kat2b|Ncoa2|Ncor1|Rock2|Mapk8|Crebbp|Kdm5b|Kdm2a|Setx|Ep300|Usp9x|Sirt1|Clock
1,Process,GO:0070544,NA,Histone H3-K36 demethylation,0.0339,0.0006,3,10,10090,Kdm7a|Kdm2a|Phf8
1,Process,GO:0031346,NA,Positive regulation of cell projection organization,0.034,0.0006,16,456,10090,Braf|Tgfbr1|Pafah1b1|Abl2|Cbfa2t2|Ccdc88a|Setx|Kidins220|Ep300|Nf1|Nckap1|Cask|Sirt1|Afdn|Numb|Rufy3
1,Process,GO:0045787,NA,Positive regulation of cell cycle,0.034,0.0006,14,367,10090,Kat2b|Ankrd17|Rock2|Pafah1b1|Rb1|Crebbp|Mecp2|Phip|Pkd1|Cspp1|Cdc27|Slf2|Kmt2e|Camk2d
1,Process,GO:0042176,NA,Regulation of protein catabolic process,0.036,0.00065,14,370,10090,Mapk8|Lrig2|Pkd1|Crebrf|Ppp2r3a|Usp9x|Pias1|Fbxl20|Faf1|Xpo1|Tlk2|Itch|Arih1|Styx
1,Process,GO:0032869,NA,Cellular response to insulin stimulus,0.038,0.00069,9,171,10090,Kat2b|Rb1|Phip|Sik2|Soga1|Grb10|Akt3|Srsf3|Cpeb2
1,Process,GO:0050767,NA,Regulation of neurogenesis,0.038,0.00069,16,462,10090,Braf|Ulk2|Pafah1b1|Mapk8|Rb1|Kras|Mecp2|Pcm1|Chd7|Nf1|Rtn4|Cask|Synj1|Afdn|Numb|Rufy3
1,Process,GO:0031365,NA,N-terminal protein amino acid modification,0.0392,0.00071,4,27,10090,Kat2b|Crebbp|Ep300|Nmt2
1,Process,GO:0050890,NA,Cognition,0.0392,0.00072,14,374,10090,Braf|Pafah1b1|Crebbp|Abl2|Kras|Mecp2|Uba6|Setd5|Chd7|Nipbl|Ep300|Nf1|Trpm7|Synj1
1,Process,GO:0031331,NA,Positive regulation of cellular catabolic process,0.0402,0.00074,15,420,10090,Ulk2|Rock2|Mapk8|Rb1cc1|Pan3|Vps13d|Tut4|Ambra1|Rock1|Pias1|Rc3h2|Itch|Sirt1|Rc3h1|Arih1
1,Process,GO:0033034,NA,Positive regulation of myeloid cell apoptotic process,0.0404,0.00075,3,11,10090,Pik3cb|Nf1|Sirt1
1,Process,GO:0034770,NA,Histone H4-K20 methylation,0.0404,0.00075,3,11,10090,Arid4a|Nsd2|Arid4b
1,KEGG,mmu05163,NA,Human cytomegalovirus infection,0.0411,0.0057,9,237,10090,Rock2|Rb1|Kras|Pik3cb|Sos2|Atf2|Rock1|Nfatc3|Akt3
1,KEGG,mmu05205,NA,Proteoglycans in cancer,0.0422,0.006,8,196,10090,Braf|Rock2|Kras|Pik3cb|Sos2|Ppp1r12a|Rock1|Akt3
1,Process,GO:0046578,NA,Regulation of Ras protein signal transduction,0.0423,0.00079,10,212,10090,Abl2|Kras|Rasa2|Pik3cb|Scai|Nf1|Arfgef1|Rtn4|Rasa1|Camk2d
